1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
249310,232618,232617,232624,232628,232615,232627,232630,232635,232636,232657,232654,232637,232639,232638,232645,232643,274412,232641,232860,232688,269502,264074,264075,264076,264077,264078,264233,264454,232743,264236,264235,264237,91709,252356,264459,264239,264238,264457,264458,264240,264241,226801
455873,348329,348329,353735,263703,610554,397794,263702,486788,618313,605796,605887,402274,486790,263702,353732,353814,353814,397823,306058,356732,424424,353726,608360,611010,486241,486789,486789,621524,486789,621524,486789,448494,486241,605796,608355,486241,392622,608443,236096,398629,398629,346566
200,20,20,25,40,40,40,30,40,110,40,50,50,30,50,100,100,100,30,25,200,50,20,20,30,50,80,25,40,40,30,50,20,50,20,30,30,10,10,20,20,20,20
UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,JOGO,UND,UND,UND,UND,UND,UND,UND,UND,UND,UND,PEÇA,UND,UND,UND,METRO,UND,UND,UND,UND
"Carretel (Cabeçote) Trim Cut 42-2, para roçadeira FS 220",Retentor 12x20x5 (96400031190) STHIL FS 220.,Retentor 12x32x7 (96400031280) STHIL FS 220.,Junta do cilindro (41190292300) STHIL FS 220.,Gaiola de agulhas 10x14x13 (9512.003.2340) STHIL FS 220.,Cilindro com pistão 38mm (41190201204) STHIL FS 220.,Junta do silenciador (4119.149.0600) STHIL FS 220.,Tampa do arranque (4119.190.0401) STHIL FS 220.,Peça de engate (4116.195.7200) STHIL FS 220.,Vela de ignição NGK (0000.400.7000) STIHL FS 220.,Mola de tração (0000.997.6205) STIHL FS 220,Embreagem (4119.160.2001) STHIL FS 220.,Carcaça do tanque (4119.350.0800) STIHL FS 220.,Cabeçote de aspiração (0000.350.3502) STIHL FS 220,Tampa do tanque (4116.350.0502) STIHL FS 220,Carburador C1S-S3E (4119.120.0602) STIHL FS 220.,Filtro de ar (4119.120.1600) STHIL FS 220.,Pré filtro (4119 141 0300),Cobertura (4119.084.0900) STHIL FS 220.,Eixo de acionamento (4119.711.3201) STHIL FS 220.,Cabo do acelerador (4119.180.1103) STHIL FS 220.,Engrenagem completa (4128.640.0106) STIHL FS 220,Pistão 38 mm (4119.030.2003) STIHL FS 220,"Anel de compressão 38x1,5 mm (1,2) (4119.034.3002) STIHL FS 220","Rebite tubular 6,5x0,5x5,8 D (9416 -868 -6650) STIHL FS 220",Parafuso IS-M5x16 (9022.341.0980) STIHL FS 220,"Manípulo ElastoStart 3,5 mm (0000.190.3401) STIHL FS 220","Cordão de arranque 3,5 mm (1113.195.8200) STIHL FS 220",Polia ou Roldana (para mudança de direção de força) (4119-195-0400) STIHL FS 220,Grampo elástico (1118.195.3500) STHIL FS 250.,Mola com haste (0000.998.0606) STIHL FS 220,Parafuso IS/M5 x 65 (9022.341.1150) STIHL FS 220,Terminal da vela (1106.405.1000) STIHL FS 220,Tambor da embreagem (4119.160.2906) STIHL FS 220,Botão giratório (4119.182.9500) STIHL FS 220,Porca de fechamento da tampa do filtro (4119.141.8302) STIHL FS 220,Parafuso de aço IS-M4x16 (9022.313.0680) STIHL FS 220,Cabo da mão esquerda (4128.791.0300) STIHL FS 220,"Mangueira 3,1x5,7 mm x 10 m, R3 (A,B) (tanque de combustível) (0000.930.2803) STIHL FS 220",Conexão para tanque de combustível (4119.141.2200) STIHL FS 220,Rolamento de esferas 6001 (9503.003.0210) STIHL FS 220,Rolamento de esferas 6001-Z (9503.003.5180) STIHL FS 220,Rolamento de esferas 6000 (9503.003.0102) STIHL FS 220
"93,99 - Pregão 271/2023","10,80","10,80","6,30","27,00","260,00","3,60","45,00","5,20","21,00","5,00","84,96","216,99","10,80","20,99","167,99","31,14","8,11","63,01","129,79","99,99","359,99","114,99","18,01","4,90","4,10","42,99","7,50","18,85","3,99","4,40","7,60",INAD,"93,40","14,50","5,60","3,70","58,90",INAD,"52,80","41,40","49,60","41,40"
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
INAD,INAD,"17,40",INAD,"36,33",INAD,"6,01",INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD,INAD
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
"166,00","14,00","12,00","8,29","35,94","285,20","4,95","52,30","7,63","22,90","16,75","110,00","329,10","16,00","38,19","274,00","42,00","12,94","79,95","149,95","135,00","475,00","170,00","46,89","5,63","4,32","57,46","10,90","18,21","4,44","4,97","10,83","32,27","114,00","14,80",INAD,INAD,"59,95",INAD,"90,03","64,45",INAD,"106,45"
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
"135,00","13,09","13,95","9,35","38,14","273,40","4,85","49,49","7,39","23,50","9,11","117,02","340,91","18,06","36,02","274,83","46,49","11,98","96,96","200,01","133,15","528,49","168,83","25,10","6,12","4,22","60,35","9,59","25,69","4,56","5,46","7,73","23,36","130,58","14,86","5,55","3,52","76,00","15,95","81,20","57,82","69,39","57,82"
D,C,C,C,C,C,C,C,C,C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G,F,,F,F,F
"138,60","18,72","18,72","8,59","40,69","296,38","5,26","49,00","7,08","23,50","10,80","120,90","350,00","20,00","39,00","298,00","50,00","16,00","98,00","205,00","136,50","542,00","172,00","50,00","6,50","4,55","61,60","23,00","27,00","5,20","5,60","9,45","23,92","131,00","15,00","5,70","3,90","110,00","16,00","83,00","59,00","70,00","59,00"
E,F,F,C,F,C,C,C,C,C,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,H,G,G,G,G,G
"157,06","20,25","20,25","7,90","44,58","420,98","6,05","71,79","7,76","34,29","12,00","48,00","420,00","95,00","37,00","70,00","26,00","12,00","100,00","100,00","35,00","220,00","55,00","12,00","12,00","12,00","12,00","12,00","25,00","12,00","18,00","12,00","12,00","55,00","55,00","25,00","12,00","71,50","12,00","35,00","35,00","35,00","35,00"
F,G,G,C,G,F,F,F,F,F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,I,H,H,H,H,H
"195,00","12,00","12,00","10,20","25,00","441,00","7,00","76,96","7,95","32,00","9,40","97,00","369,90","18,40","37,00","259,60","47,50","11,80","79,00","203,60","137,00","544,70","154,80","24,60","5,68","4,60","64,70","10,30","19,27","4,95","5,67","8,70","25,30","119,80","16,80","6,30","3,40","77,10","17,70","78,10","62,70","73,60","65,60"
G,H,H,F,H,G,G,G,G,G,I,I,I,I,I,I,I,J,I,I,I,I,J,I,C,I,I,I,C,C,C,I,I,J,I,I,I,J,I,I,I,I,I
"30,00","20,80","21,00","11,20","35,60","170,00","7,00","60,00","8,00","26,00","7,90","129,60","381,10","17,45","33,80","200,00","43,00","12,00","68,00","183,40","138,60","484,50","169,00","23,80","5,80","4,40","59,87","11,03","24,40","4,90","5,10","8,05","22,90","118,55","15,40","6,00","3,50","73,00","17,00","64,40","58,00","70,00","58,00"
H,I,I,G,I,H,H,H,H,H,J,C,C,J,C,C,C,R,C,J,C,J,R,J,C,J,C,C,J,I,I,J,J,C,J,J,J,R,J,J,R,R,R
"160,10","17,75","17,75","7,00","36,70","413,20","5,50","80,90","8,30","32,20","9,00","101,75","318,80","18,00","37,00","265,70","37,28","13,70","96,30","202,00","132,00","501,00","196,70","52,00","7,00","5,00","48,40","8,35","26,00","4,00","5,00","8,00","27,00","127,00","15,00","7,00","4,00","84,80","25,00","82,00","67,20","79,80","67,20"
I,J,J,H,J,I,I,I,I,I,R,J,C,R,J,J,C,S,J,R,J,R,S,R,R,R,J,J,R,J,J,R,C,R,R,R,R,S,R,R,S,S,S
"159,90","19,00","19,00","10,25","41,00","385,75","5,75","67,20","7,35","31,00","13,50","117,00","339,00","21,70","36,00","274,00","44,00",,"96,00","234,50","133,00","583,80",,"29,40","6,70","4,70","60,00","10,00","29,90","5,00","6,00","8,50","27,55","147,40","18,70","6,40","3,90",,"10,50","95,00",,,
J,R,R,J,R,J,J,J,J,J,S,R,J,S,R,R,J,,R,S,R,S,,S,S,S,R,R,S,R,R,S,C,S,S,S,S,,S,S,,,
"162,00","21,90","21,90","11,00","47,00","420,00","7,00","72,00","8,00","32,00",,"136,20","339,00",,"41,00","319,60","47,00",,"111,00",,"154,30",,,,,,"69,90","11,20",,"5,90","6,30",,"23,00",,,,,,,,,,
R,S,S,R,S,R,R,R,R,R,,S,R,,S,S,R,,S,,S,,,,,,S,S,,S,S,,R,,,,,,,,,,
"181,70",,,"11,90",,,"6,90","83,70","8,90","36,30",,,"394,70",,,,"53,90",,,,,,,,,,,,,,,,"25,80",,,,,,,,,,
S,,,S,,,S,S,S,S,,,S,,,,S,,,,,,,,,,,,,,,,S,,,,,,,,,,
